lon,lat,value
322.5,-76.75,-0.34756032
323.5,-76.75,-0.33338812
324.5,-76.75,-0.30022916
325.5,-76.75,-0.2563103
326.5,-76.75,-0.21866536
327.5,-76.75,-0.17096457
328.5,-76.75,-0.13591826
329.5,-76.75,-0.10335218
163.5,-76.25,-0.90086144
164.5,-76.25,-0.84926647
165.5,-76.25,-0.77300775
166.5,-76.25,-0.68002504
167.5,-76.25,-0.5631379
168.5,-76.25,-0.43241394
169.5,-76.25,-0.30249873
170.5,-76.25,-0.17923994
171.5,-76.25,-0.067596674
172.5,-76.25,0.03156146
173.5,-76.25,0.111080326
174.5,-76.25,0.16448806
175.5,-76.25,0.20078772
176.5,-76.25,0.22924078
177.5,-76.25,0.25541785
178.5,-76.25,0.28415352
179.5,-76.25,0.32109112
180.5,-76.25,0.3720874
181.5,-76.25,0.44395
182.5,-76.25,0.54911053
183.5,-76.25,0.6854855
184.5,-76.25,0.8324933
185.5,-76.25,0.9568398
186.5,-76.25,1.0437719
187.5,-76.25,1.0974902
188.5,-76.25,1.1168412
189.5,-76.25,1.1038469
190.5,-76.25,1.0620916
191.5,-76.25,0.9925816
192.5,-76.25,0.9089439
193.5,-76.25,0.83474076
194.5,-76.25,0.78460944
195.5,-76.25,0.75416124
196.5,-76.25,0.7280898
197.5,-76.25,0.69772875
198.5,-76.25,0.6623141
199.5,-76.25,0.63017833
200.5,-76.25,0.60797507
201.5,-76.25,0.5915677
202.5,-76.25,0.580636
203.5,-76.25,0.57933295
204.5,-76.25,0.582522
205.5,-76.25,0.58588564
206.5,-76.25,0.5844478
207.5,-76.25,0.57505286
208.5,-76.25,0.5606884
209.5,-76.25,0.5506627
305.5,-76.25,-0.44630933
306.5,-76.25,-0.41474825
307.5,-76.25,-0.4052724
308.5,-76.25,-0.39191693
309.5,-76.25,-0.39595583
310.5,-76.25,-0.39840332
311.5,-76.25,-0.39234018
312.5,-76.25,-0.38100663
313.5,-76.25,-0.36811298
314.5,-76.25,-0.35338643
315.5,-76.25,-0.33838668
316.5,-76.25,-0.32431012
317.5,-76.25,-0.31091473
318.5,-76.25,-0.29901332
319.5,-76.25,-0.2882973
320.5,-76.25,-0.27771866
321.5,-76.25,-0.26695552
322.5,-76.25,-0.2548523
323.5,-76.25,-0.23491167
324.5,-76.25,-0.20868137
325.5,-76.25,-0.18004176
326.5,-76.25,-0.15216678
327.5,-76.25,-0.121149905
328.5,-76.25,-0.0908094
329.5,-76.25,-0.062278412
330.5,-76.25,-0.015668642
331.5,-76.25,0.02488741
332.5,-76.25,0.0693205
163.5,-75.75,-1.1304022
164.5,-75.75,-1.1071812
165.5,-75.75,-1.0474967
166.5,-75.75,-0.9304652
167.5,-75.75,-0.77095693
168.5,-75.75,-0.5974491
169.5,-75.75,-0.42573974
170.5,-75.75,-0.265169
171.5,-75.75,-0.12223806
172.5,-75.75,-2.526683e-05
173.5,-75.75,0.09703641
174.5,-75.75,0.16907117
175.5,-75.75,0.22848248
176.5,-75.75,0.2838948
177.5,-75.75,0.3408981
178.5,-75.75,0.40374961
179.5,-75.75,0.48009887
180.5,-75.75,0.5852408
181.5,-75.75,0.73806465
182.5,-75.75,0.95863754
183.5,-75.75,1.2429572
184.5,-75.75,1.5337667
185.5,-75.75,1.7466279
186.5,-75.75,1.8782314
187.5,-75.75,1.9646332
188.5,-75.75,2.004015
189.5,-75.75,2.007951
190.5,-75.75,1.969996
191.5,-75.75,1.8755698
192.5,-75.75,1.7567546
193.5,-75.75,1.6419051
194.5,-75.75,1.5581415
195.5,-75.75,1.4996117
196.5,-75.75,1.4441572
197.5,-75.75,1.3871242
198.5,-75.75,1.3321909
199.5,-75.75,1.2963821
200.5,-75.75,1.278849
201.5,-75.75,1.2515333
202.5,-75.75,1.203077
203.5,-75.75,1.1393776
204.5,-75.75,1.0631777
205.5,-75.75,0.9676294
206.5,-75.75,0.8443075
207.5,-75.75,0.70504355
208.5,-75.75,0.5930632
209.5,-75.75,0.53412336
210.5,-75.75,0.5172489
211.5,-75.75,0.4970758
212.5,-75.75,0.48827818
302.5,-75.75,-0.5927578
303.5,-75.75,-0.57008564
304.5,-75.75,-0.55459815
305.5,-75.75,-0.52139604
306.5,-75.75,-0.46666956
307.5,-75.75,-0.4520284
308.5,-75.75,-0.44912204
309.5,-75.75,-0.45003334
310.5,-75.75,-0.4418276
311.5,-75.75,-0.42115965
312.5,-75.75,-0.3974993
313.5,-75.75,-0.372079
314.5,-75.75,-0.34592065
315.5,-75.75,-0.3202466
316.5,-75.75,-0.29621148
317.5,-75.75,-0.2744004
318.5,-75.75,-0.25367397
319.5,-75.75,-0.23435077
320.5,-75.75,-0.21660922
321.5,-75.75,-0.19972654
322.5,-75.75,-0.1824732
323.5,-75.75,-0.16250218
324.5,-75.75,-0.14157888
325.5,-75.75,-0.12003246
326.5,-75.75,-0.09641056
327.5,-75.75,-0.06862223
328.5,-75.75,-0.03635916
329.5,-75.75,-0.00042981346
330.5,-75.75,0.040071413
331.5,-75.75,0.0771001
332.5,-75.75,0.10348513
333.5,-75.75,0.15459147
163.5,-75.25,-1.2506846
164.5,-75.25,-1.2776923
165.5,-75.25,-1.2346759
166.5,-75.25,-1.116066
167.5,-75.25,-0.92849326
168.5,-75.25,-0.71443933
169.5,-75.25,-0.5064691
170.5,-75.25,-0.3180944
171.5,-75.25,-0.14081003
172.5,-75.25,0.014089164
173.5,-75.25,0.1436563
174.5,-75.25,0.25702718
175.5,-75.25,0.36539385
176.5,-75.25,0.4787708
177.5,-75.25,0.59458494
178.5,-75.25,0.7103126
179.5,-75.25,0.8299546
180.5,-75.25,0.97861654
181.5,-75.25,1.2101291
182.5,-75.25,1.5617939
183.5,-75.25,1.9950796
184.5,-75.25,2.379895
185.5,-75.25,2.6245382
186.5,-75.25,2.7718892
187.5,-75.25,2.866707
188.5,-75.25,2.9165585
189.5,-75.25,2.9446027
190.5,-75.25,2.9389064
191.5,-75.25,2.8874915
192.5,-75.25,2.8127978
193.5,-75.25,2.7301354
194.5,-75.25,2.6564243
195.5,-75.25,2.5911708
196.5,-75.25,2.5329397
197.5,-75.25,2.4783652
198.5,-75.25,2.4312193
199.5,-75.25,2.402958
200.5,-75.25,2.3787405
201.5,-75.25,2.3369734
202.5,-75.25,2.259892
203.5,-75.25,2.146295
204.5,-75.25,1.9955723
205.5,-75.25,1.7991235
206.5,-75.25,1.554705
207.5,-75.25,1.2807399
208.5,-75.25,1.0141013
209.5,-75.25,0.79022217
210.5,-75.25,0.6323952
211.5,-75.25,0.52912223
212.5,-75.25,0.466055
213.5,-75.25,0.44078767
214.5,-75.25,0.42090514
215.5,-75.25,0.40480173
216.5,-75.25,0.38799742
217.5,-75.25,0.36838764
218.5,-75.25,0.3396678
219.5,-75.25,0.31672162
300.5,-75.25,-0.87908894
301.5,-75.25,-0.84431833
302.5,-75.25,-0.77684927
303.5,-75.25,-0.6812561
304.5,-75.25,-0.6162033
305.5,-75.25,-0.5775307
306.5,-75.25,-0.5526748
307.5,-75.25,-0.5423448
308.5,-75.25,-0.53032625
309.5,-75.25,-0.5147439
310.5,-75.25,-0.48464823
311.5,-75.25,-0.44255924
312.5,-75.25,-0.40182203
313.5,-75.25,-0.36053336
314.5,-75.25,-0.32087943
315.5,-75.25,-0.28435746
316.5,-75.25,-0.24870794
317.5,-75.25,-0.21722473
318.5,-75.25,-0.18892111
319.5,-75.25,-0.1614975
320.5,-75.25,-0.13685626
321.5,-75.25,-0.11469454
322.5,-75.25,-0.09172315
323.5,-75.25,-0.06960631
324.5,-75.25,-0.048679814
325.5,-75.25,-0.028494565
326.5,-75.25,-0.007154514
327.5,-75.25,0.015759854
328.5,-75.25,0.042953607
329.5,-75.25,0.07744105
330.5,-75.25,0.115766704
331.5,-75.25,0.15022257
332.5,-75.25,0.17724645
333.5,-75.25,0.19837229
334.5,-75.25,0.23459299
