region,time,lev,calc
Arctic,1858,9500.0,4.648964e-07
Arctic,1858,10500.0,4.046807e-07
Arctic,1858,11500.0,3.458567e-07
Arctic,1858,12500.0,3.0381915e-07
Arctic,1858,13500.0,2.783924e-07
Arctic,1858,14500.0,2.589059e-07
Arctic,1859,500.0,1.6223984e-06
Arctic,1859,1500.0,1.3463434e-06
Arctic,1859,2500.0,1.0045562e-06
Arctic,1859,3500.0,8.189845e-07
Arctic,1859,4500.0,7.5188245e-07
Arctic,1859,5500.0,6.976077e-07
Arctic,1859,6500.0,6.386425e-07
Arctic,1859,7500.0,5.827543e-07
Arctic,1859,8500.0,5.268826e-07
Arctic,1859,9500.0,4.674936e-07
Arctic,1859,10500.0,4.083846e-07
Arctic,1859,11500.0,3.511221e-07
Arctic,1859,12500.0,3.0928732e-07
Arctic,1859,13500.0,2.8413e-07
Arctic,1859,14500.0,2.658491e-07
Arctic,1860,500.0,2.672813e-06
Arctic,1860,1500.0,1.9192562e-06
Arctic,1860,2500.0,1.390221e-06
Arctic,1860,3500.0,9.1525936e-07
Arctic,1860,4500.0,8.432017e-07
Arctic,1860,5500.0,7.5086643e-07
Arctic,1860,6500.0,6.696347e-07
Arctic,1860,7500.0,5.914435e-07
Arctic,1860,8500.0,5.331159e-07
Arctic,1860,9500.0,4.703666e-07
Arctic,1860,10500.0,4.103182e-07
Arctic,1860,11500.0,3.5367543e-07
Arctic,1860,12500.0,3.1213787e-07
Arctic,1860,13500.0,2.8802896e-07
Arctic,1860,14500.0,2.7038345e-07
Arctic,1861,500.0,3.5392686e-06
Arctic,1861,1500.0,2.654924e-06
Arctic,1861,2500.0,1.810125e-06
Arctic,1861,3500.0,1.3951933e-06
Arctic,1861,4500.0,1.1126018e-06
Arctic,1861,5500.0,8.885272e-07
Arctic,1861,6500.0,7.280949e-07
Arctic,1861,7500.0,6.240667e-07
Arctic,1861,8500.0,5.4329473e-07
Arctic,1861,9500.0,4.7340345e-07
Arctic,1861,10500.0,4.059873e-07
Arctic,1861,11500.0,3.4450437e-07
Arctic,1861,12500.0,3.0089572e-07
Arctic,1861,13500.0,2.746125e-07
Arctic,1861,14500.0,2.5493742e-07
Arctic,1862,500.0,5.3193603e-06
Arctic,1862,1500.0,3.536873e-06
Arctic,1862,2500.0,1.5614556e-06
Arctic,1862,3500.0,8.534183e-07
Arctic,1862,4500.0,7.1787815e-07
Arctic,1862,5500.0,6.5834246e-07
Arctic,1862,6500.0,6.032544e-07
Arctic,1862,7500.0,5.488035e-07
Arctic,1862,8500.0,4.9348967e-07
Arctic,1862,9500.0,4.3321995e-07
Arctic,1862,10500.0,3.7223217e-07
Arctic,1862,11500.0,3.1308102e-07
Arctic,1862,12500.0,2.706248e-07
Arctic,1862,13500.0,2.456852e-07
Arctic,1862,14500.0,2.2688937e-07
Arctic,1863,500.0,2.3002538e-06
Arctic,1863,1500.0,1.8187848e-06
Arctic,1863,2500.0,1.321475e-06
Arctic,1863,3500.0,8.6035374e-07
Arctic,1863,4500.0,7.346606e-07
Arctic,1863,5500.0,6.7171015e-07
Arctic,1863,6500.0,6.206294e-07
Arctic,1863,7500.0,5.6725634e-07
Arctic,1863,8500.0,5.1205427e-07
Arctic,1863,9500.0,4.540847e-07
Arctic,1863,10500.0,3.9627005e-07
Arctic,1863,11500.0,3.389867e-07
Arctic,1863,12500.0,2.9734124e-07
Arctic,1863,13500.0,2.737202e-07
Arctic,1863,14500.0,2.5659563e-07
Arctic,1864,500.0,2.1962794e-06
Arctic,1864,1500.0,1.6815918e-06
Arctic,1864,2500.0,1.2741999e-06
Arctic,1864,3500.0,9.544157e-07
Arctic,1864,4500.0,8.04195e-07
Arctic,1864,5500.0,6.990039e-07
Arctic,1864,6500.0,6.1462254e-07
Arctic,1864,7500.0,5.389263e-07
Arctic,1864,8500.0,4.6772038e-07
Arctic,1864,9500.0,3.9331113e-07
Arctic,1864,10500.0,3.224173e-07
Arctic,1864,11500.0,2.5558592e-07
Arctic,1864,12500.0,2.060257e-07
Arctic,1864,13500.0,1.7796206e-07
Arctic,1864,14500.0,1.5721777e-07
Arctic,1865,500.0,1.02908825e-05
Arctic,1865,1500.0,7.60762e-06
Arctic,1865,2500.0,3.010556e-06
Arctic,1865,3500.0,1.5481676e-06
Arctic,1865,4500.0,1.2197913e-06
Arctic,1865,5500.0,1.0742857e-06
Arctic,1865,6500.0,9.579608e-07
Arctic,1865,7500.0,8.5694694e-07
Arctic,1865,8500.0,7.6835215e-07
Arctic,1865,9500.0,6.932835e-07
Arctic,1865,10500.0,6.2316593e-07
Arctic,1865,11500.0,5.5854144e-07
Arctic,1865,12500.0,5.1000166e-07
Arctic,1865,13500.0,4.7787483e-07
Arctic,1865,14500.0,4.5113777e-07
Arctic,1866,500.0,1.8475968e-05
Arctic,1866,1500.0,1.2366469e-05
Arctic,1866,2500.0,7.077931e-06
Arctic,1866,3500.0,3.3589438e-06
Arctic,1866,4500.0,1.8557154e-06
Arctic,1866,5500.0,1.2759375e-06
Arctic,1866,6500.0,9.827098e-07
Arctic,1866,7500.0,8.192722e-07
Arctic,1866,8500.0,7.1254897e-07
Arctic,1866,9500.0,6.2261176e-07
Arctic,1866,10500.0,5.458985e-07
Arctic,1866,11500.0,4.7591877e-07
Arctic,1866,12500.0,4.2124876e-07
Arctic,1866,13500.0,3.8881424e-07
Arctic,1866,14500.0,3.6194112e-07
Arctic,1867,500.0,3.8147546e-06
Arctic,1867,1500.0,2.7021963e-06
Arctic,1867,2500.0,1.8600209e-06
Arctic,1867,3500.0,1.4166924e-06
Arctic,1867,4500.0,1.202715e-06
Arctic,1867,5500.0,9.716966e-07
Arctic,1867,6500.0,8.1159334e-07
Arctic,1867,7500.0,6.773041e-07
Arctic,1867,8500.0,5.908525e-07
Arctic,1867,9500.0,5.0831204e-07
Arctic,1867,10500.0,4.3751484e-07
Arctic,1867,11500.0,3.7421339e-07
Arctic,1867,12500.0,3.2657766e-07
Arctic,1867,13500.0,2.9710273e-07
Arctic,1867,14500.0,2.7433484e-07
Arctic,1868,500.0,6.130409e-06
Arctic,1868,1500.0,4.467055e-06
Arctic,1868,2500.0,1.99668e-06
Arctic,1868,3500.0,1.3140184e-06
Arctic,1868,4500.0,1.0808382e-06
Arctic,1868,5500.0,9.3528405e-07
Arctic,1868,6500.0,8.199046e-07
Arctic,1868,7500.0,7.2831966e-07
Arctic,1868,8500.0,6.472901e-07
Arctic,1868,9500.0,5.778271e-07
Arctic,1868,10500.0,5.126783e-07
Arctic,1868,11500.0,4.5215427e-07
Arctic,1868,12500.0,4.0851526e-07
Arctic,1868,13500.0,3.8006246e-07
Arctic,1868,14500.0,3.5906058e-07
Arctic,1869,500.0,1.729005e-06
Arctic,1869,1500.0,1.3388353e-06
Arctic,1869,2500.0,1.1765277e-06
Arctic,1869,3500.0,7.998508e-07
Arctic,1869,4500.0,7.613169e-07
Arctic,1869,5500.0,6.6653894e-07
Arctic,1869,6500.0,5.993065e-07
Arctic,1869,7500.0,5.2930767e-07
Arctic,1869,8500.0,4.7459372e-07
Arctic,1869,9500.0,4.149487e-07
Arctic,1869,10500.0,3.5632476e-07
Arctic,1869,11500.0,3.001634e-07
Arctic,1869,12500.0,2.5862101e-07
Arctic,1869,13500.0,2.3287627e-07
Arctic,1869,14500.0,2.1277424e-07
Arctic,1870,500.0,3.1176855e-06
Arctic,1870,1500.0,2.244605e-06
Arctic,1870,2500.0,1.481561e-06
Arctic,1870,3500.0,1.0444035e-06
Arctic,1870,4500.0,8.4479217e-07
Arctic,1870,5500.0,7.436629e-07
Arctic,1870,6500.0,6.6325083e-07
Arctic,1870,7500.0,5.888825e-07
Arctic,1870,8500.0,5.237011e-07
Arctic,1870,9500.0,4.5728342e-07
Arctic,1870,10500.0,3.9418202e-07
Arctic,1870,11500.0,3.3398734e-07
Arctic,1870,12500.0,2.907766e-07
Arctic,1870,13500.0,2.6639893e-07
Arctic,1870,14500.0,2.4829984e-07
Arctic,1871,500.0,1.8527687e-06
Arctic,1871,1500.0,1.5049194e-06
Arctic,1871,2500.0,1.260196e-06
Arctic,1871,3500.0,1.1266976e-06
Arctic,1871,4500.0,1.004899e-06
Arctic,1871,5500.0,8.6765726e-07
Arctic,1871,6500.0,7.46934e-07
Arctic,1871,7500.0,6.4542195e-07
Arctic,1871,8500.0,5.597634e-07
Arctic,1871,9500.0,4.8084456e-07
Arctic,1871,10500.0,4.0787728e-07
Arctic,1871,11500.0,3.397931e-07
Arctic,1871,12500.0,2.892046e-07
Arctic,1871,13500.0,2.563049e-07
Arctic,1871,14500.0,2.325228e-07
Arctic,1872,500.0,3.8465714e-06
Arctic,1872,1500.0,2.9789283e-06
Arctic,1872,2500.0,2.062832e-06
Arctic,1872,3500.0,1.3326669e-06
Arctic,1872,4500.0,9.651319e-07
Arctic,1872,5500.0,7.838822e-07
Arctic,1872,6500.0,6.6749084e-07
Arctic,1872,7500.0,5.8593366e-07
Arctic,1872,8500.0,5.180955e-07
Arctic,1872,9500.0,4.5118202e-07
Arctic,1872,10500.0,3.8855612e-07
Arctic,1872,11500.0,3.3017594e-07
Arctic,1872,12500.0,2.8717605e-07
Arctic,1872,13500.0,2.617738e-07
Arctic,1872,14500.0,2.415158e-07
Arctic,1873,500.0,2.501842e-06
Arctic,1873,1500.0,1.918788e-06
Arctic,1873,2500.0,1.3266647e-06
Arctic,1873,3500.0,1.0439277e-06
Arctic,1873,4500.0,9.0823187e-07
Arctic,1873,5500.0,8.1752916e-07
Arctic,1873,6500.0,7.3828085e-07
Arctic,1873,7500.0,6.6712914e-07
Arctic,1873,8500.0,6.019578e-07
Arctic,1873,9500.0,5.3576883e-07
Arctic,1873,10500.0,4.715442e-07
Arctic,1873,11500.0,4.099889e-07
Arctic,1873,12500.0,3.6562858e-07
Arctic,1873,13500.0,3.3885894e-07
Arctic,1873,14500.0,3.185813e-07
Arctic,1874,500.0,1.9726674e-06
Arctic,1874,1500.0,1.6179133e-06
Arctic,1874,2500.0,1.2570999e-06
Arctic,1874,3500.0,1.020881e-06
Arctic,1874,4500.0,8.7247065e-07
Arctic,1874,5500.0,7.633232e-07
Arctic,1874,6500.0,6.7511843e-07
Arctic,1874,7500.0,6.069141e-07
Arctic,1874,8500.0,5.441696e-07
Arctic,1874,9500.0,4.7979006e-07
Arctic,1874,10500.0,4.1740157e-07
Arctic,1874,11500.0,3.5671823e-07
Arctic,1874,12500.0,3.127092e-07
Arctic,1874,13500.0,2.865234e-07
Arctic,1874,14500.0,2.668457e-07
Arctic,1875,500.0,1.8241584e-06
Arctic,1875,1500.0,1.4906998e-06
Arctic,1875,2500.0,1.0824084e-06
Arctic,1875,3500.0,8.811985e-07
Arctic,1875,4500.0,7.9522897e-07
Arctic,1875,5500.0,7.3138165e-07
Arctic,1875,6500.0,6.590908e-07
Arctic,1875,7500.0,5.884948e-07
Arctic,1875,8500.0,5.240033e-07
Arctic,1875,9500.0,4.600134e-07
Arctic,1875,10500.0,3.9772007e-07
Arctic,1875,11500.0,3.3818617e-07
Arctic,1875,12500.0,2.9520146e-07
Arctic,1875,13500.0,2.7009202e-07
Arctic,1875,14500.0,2.5140199e-07
Arctic,1876,500.0,5.18742e-06
Arctic,1876,1500.0,3.8001715e-06
Arctic,1876,2500.0,1.9068152e-06
Arctic,1876,3500.0,1.1545917e-06
Arctic,1876,4500.0,9.5032436e-07
Arctic,1876,5500.0,8.302707e-07
Arctic,1876,6500.0,7.216756e-07
Arctic,1876,7500.0,6.2327933e-07
Arctic,1876,8500.0,5.459105e-07
Arctic,1876,9500.0,4.7872567e-07
Arctic,1876,10500.0,4.1627197e-07
Arctic,1876,11500.0,3.5628636e-07
Arctic,1876,12500.0,3.1346613e-07
Arctic,1876,13500.0,2.8827003e-07
Arctic,1876,14500.0,2.7037694e-07
Arctic,1877,500.0,2.8339407e-06
Arctic,1877,1500.0,1.9409636e-06
Arctic,1877,2500.0,1.2549717e-06
Arctic,1877,3500.0,9.826095e-07
Arctic,1877,4500.0,8.5933016e-07
Arctic,1877,5500.0,7.809458e-07
Arctic,1877,6500.0,7.07267e-07
Arctic,1877,7500.0,6.383863e-07
Arctic,1877,8500.0,5.724984e-07
Arctic,1877,9500.0,5.0967594e-07
Arctic,1877,10500.0,4.4954277e-07
Arctic,1877,11500.0,3.9353043e-07
Arctic,1877,12500.0,3.5280016e-07
Arctic,1877,13500.0,3.2869096e-07
Arctic,1877,14500.0,3.105393e-07
Arctic,1878,500.0,1.985701e-06
Arctic,1878,1500.0,1.4808222e-06
Arctic,1878,2500.0,1.0423162e-06
Arctic,1878,3500.0,9.136483e-07
Arctic,1878,4500.0,8.4387295e-07
Arctic,1878,5500.0,7.683319e-07
Arctic,1878,6500.0,6.8516874e-07
Arctic,1878,7500.0,6.083258e-07
Arctic,1878,8500.0,5.351193e-07
Arctic,1878,9500.0,4.6506628e-07
Arctic,1878,10500.0,3.9761656e-07
Arctic,1878,11500.0,3.3479884e-07
Arctic,1878,12500.0,2.89375e-07
Arctic,1878,13500.0,2.6212444e-07
Arctic,1878,14500.0,2.4279205e-07
Arctic,1879,500.0,2.4151564e-06
Arctic,1879,1500.0,1.8072969e-06
Arctic,1879,2500.0,1.495144e-06
Arctic,1879,3500.0,8.813468e-07
Arctic,1879,4500.0,7.8390525e-07
Arctic,1879,5500.0,7.2422586e-07
Arctic,1879,6500.0,6.649104e-07
Arctic,1879,7500.0,6.068131e-07
Arctic,1879,8500.0,5.4562713e-07
Arctic,1879,9500.0,4.838915e-07
Arctic,1879,10500.0,4.2195867e-07
Arctic,1879,11500.0,3.6232746e-07
Arctic,1879,12500.0,3.1862942e-07
Arctic,1879,13500.0,2.9332676e-07
Arctic,1879,14500.0,2.7570803e-07
Arctic,1880,500.0,2.02176e-06
Arctic,1880,1500.0,1.6362417e-06
Arctic,1880,2500.0,1.343435e-06
Arctic,1880,3500.0,9.583889e-07
Arctic,1880,4500.0,8.385904e-07
Arctic,1880,5500.0,7.4802693e-07
Arctic,1880,6500.0,6.759573e-07
Arctic,1880,7500.0,6.041169e-07
Arctic,1880,8500.0,5.325618e-07
Arctic,1880,9500.0,4.5793357e-07
Arctic,1880,10500.0,3.8804004e-07
Arctic,1880,11500.0,3.2383505e-07
Arctic,1880,12500.0,2.7630833e-07
Arctic,1880,13500.0,2.48062e-07
Arctic,1880,14500.0,2.2632011e-07
Arctic,1881,500.0,2.7669557e-06
Arctic,1881,1500.0,2.325484e-06
Arctic,1881,2500.0,1.7264638e-06
Arctic,1881,3500.0,1.3074522e-06
Arctic,1881,4500.0,1.0028566e-06
Arctic,1881,5500.0,8.559964e-07
Arctic,1881,6500.0,7.637538e-07
Arctic,1881,7500.0,6.823462e-07
Arctic,1881,8500.0,6.03433e-07
Arctic,1881,9500.0,5.221552e-07
Arctic,1881,10500.0,4.428593e-07
Arctic,1881,11500.0,3.7047997e-07
Arctic,1881,12500.0,3.1790753e-07
Arctic,1881,13500.0,2.8563827e-07
Arctic,1881,14500.0,2.612246e-07
Arctic,1882,500.0,7.733747e-06
Arctic,1882,1500.0,5.9773647e-06
